state,city,station,latitude,longitude,CO,NH3,NO2,OZONE,PM10,PM2.5,SO2,aqi_category,aqi_label
Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB",25.859655,85.77944,33.0,1.0,8.0,8.0,97.0,122.0,4.0,4,Very Poor
Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB",24.952822,84.002396,67.0,4.0,4.0,20.0,102.0,49.0,4.0,1,Satisfactory
Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC",30.735567,76.775714,69.0,16.0,15.0,51.0,68.0,49.0,15.0,1,Satisfactory
Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC",30.719859,76.738637,49.0,22.0,70.0,18.0,65.0,60.0,6.0,1,Satisfactory
Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB",21.194815,81.31477,36.0,1.0,34.0,5.0,40.0,53.0,4.0,1,Satisfactory
Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant",21.185571,81.343175,33.0,3.0,11.0,11.0,47.0,40.0,8.0,1,Satisfactory
Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB",21.224231,81.40835,53.0,5.0,44.0,13.0,55.0,57.0,36.0,1,Satisfactory
Chhattisgarh,Bilaspur,"Mangala, Bilaspur - NTPC",22.08815,82.13737,31.0,5.0,33.0,20.0,92.0,81.0,21.0,2,Moderate
Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB",22.118125,83.140608,106.0,4.0,34.0,117.0,131.0,145.0,62.0,4,Very Poor
Chhattisgarh,Korba,"Urja Nagar, Korba - CECB",22.348441,82.549611,102.0,1.0,28.0,2.0,209.0,318.0,8.0,5,Severe
Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB",22.12665,83.483212,109.0,2.0,66.0,7.0,216.0,228.0,65.0,4,Very Poor
